cutoff_days,roi_beta,roi_or,elasticity,norm_elast
153,0.14321340883937747,1.1539760440781583,0.06383268729837963,0.0004720241584834755
154,0.15146621534432245,1.1635389913814433,0.06675638530101792,0.0004936440549309527
155,0.20763824210298865,1.2307678490158453,0.09036175049257796,0.0006681988655118961
156,0.18943900164556632,1.2085714008742925,0.08182876841392077,0.000605099944637622
157,0.1461265967209658,1.1573426945671441,0.06305912633929207,0.0004663039001612438
158,0.21648301172846995,1.2417019908040703,0.09321672624662197,0.0006893105809171093
159,0.20277059045885024,1.224791457169227,0.08643240893021047,0.000639142527405671
160,0.20107528548548562,1.2227168211877877,0.08475260873984168,0.0006267208935243832
161,0.20846763908117846,1.2317890675899306,0.0869940100374178,0.0006432954042662957
162,0.18063837578345435,1.1979818816930659,0.07468653025510678,0.0005522851705886479
163,0.1362298536028786,1.1459452629728981,0.0561092289622845,0.00041491143025638067
164,0.24412269944091047,1.2765009468333874,0.10046508226530576,0.0007429100656781825
165,0.16397174640752715,1.1781810267758774,0.0674201257790503,0.0004985522227342312
166,0.1212803905207467,1.1289414124639903,0.049478878078973186,0.00036588191374055883
167,0.1644969343840339,1.1787999557981026,0.06645762967922235,0.000491434843993129
168,0.09929869309369922,1.104396125793503,0.03970955428047697,0.0002936406054061246
169,0.1865270070530184,1.2050571666890184,0.07381729823255952,0.0005458574525755888
170,0.10921554356587596,1.1154027423175121,0.042754365486342844,0.0003161560987688234
171,0.10223520202673009,1.107643961197476,0.039993530319797736,0.0002957405256298069
172,0.08121977954075789,1.0846092452955467,0.0317431088195917,0.00023473105805773452
173,0.1909384087698059,1.2103849006904253,0.07406858385759206,0.0005477156366927722
174,0.113230787036938,1.1198903593044318,0.04356129973378192,0.0003221231428526559
175,0.07310047436201185,1.0758386256840808,0.02785048567432782,0.0002059462419673876
176,0.16217135149689946,1.1760617439968941,0.06129672245834331,0.00045327143601126636
177,0.1277350546847733,1.136251918190715,0.04783358370082492,0.00035371544030551763
178,0.145101782063485,1.156157240349204,0.05430316880982554,0.0004015561406748841
179,0.1834607786217881,1.2013678451850107,0.06860369367155132,0.0005073043630891311
180,0.1694757808081212,1.1846836546049222,0.06296420581736571,0.00046560199050677995
181,0.04791244023419758,1.0490787942093311,0.017673179232148246,0.00013068802063412698
182,0.0734981820996213,1.0762665801246898,0.026894636934722813,0.000198878018521921
183,0.06788393411782614,1.0702410827943187,0.024659315421159168,0.0001823484660146326
184,0.1617264090751364,1.1755385806337952,0.058320672342569865,0.0004312644109124144
185,0.08228678646326988,1.0857671485040106,0.029630018371421186,0.00021910536873128068
186,0.14004955707459027,1.1503308044741807,0.050381533853869065,0.00037255679068180103
187,0.06294939640608922,1.0649729464092257,0.022466151908237475,0.00016613065966152604
188,0.14637077201788984,1.1576253235673388,0.05184437756450714,0.0003833740944916676
189,0.16054297668754897,1.1741482330580566,0.0564128727410277,0.0004171567876932379
190,0.15341968854651403,1.1658141551330088,0.0535379942906385,0.0003958978976367372
191,0.09808105767364772,1.1030521923295105,0.03388560010214104,0.00025057415800394667
192,0.1376388356663782,1.1475610173113164,0.04751166097537808,0.0003513349153737464
193,0.027028907572889643,1.027397501902395,0.009324481201852084,6.895182670322802e-05
194,0.04136011582554966,1.0422273605401444,0.01418360086357803,0.00010488360345226867
195,-0.006501742719327061,0.9935193478765696,-0.0022137820035286727,-1.6370274094789835e-05
196,0.10561609758645507,1.1113951273249696,0.03573048969559213,0.00026421658000904026
197,0.05797835953671694,1.059692063234968,0.01947548217162599,0.0001440155267183158
198,0.14279144158201285,1.1534892066937157,0.04766302369207534,0.0003524541986437868
199,0.10345166359194723,1.1089921873706217,0.03450363626973223,0.00025514435572343054
200,0.03997402207737172,1.0407837364418193,0.013324139728025115,9.852813830692275e-05
201,0.003694151582745421,1.0037009833706665,0.0012247078618012614,9.056358463377927e-06
202,0.06474710288536624,1.0668891770693123,0.02133145055015487,0.00015773987311708121
203,0.015626745860786134,1.0157494819423267,0.005124290103388667,3.789263504716395e-05
204,0.09050700550188334,1.094729176742093,0.029514607486358327,0.00021825193880051523
205,0.05878144864962426,1.0605434322108063,0.019053001841243776,0.00014089140754262901
206,0.07772953810981842,1.0808302957306,0.025176739237175158,0.00018617466465472112
207,0.0492273707379323,1.0504591672650834,0.015937033825926913,0.0001178497302681599
208,0.09648573202601336,1.1012938677994384,0.031102708853774867,0.00022999548655430497
209,0.0475772165582361,1.048727177098046,0.015261328540598399,0.00011285308619458154
210,0.01835325767015482,1.018522713806931,0.005862423025366945,4.335091333830195e-05
211,0.006578107462644034,1.0065997907304198,0.0020922903924787454,1.547187896377207e-05
212,0.03052569603030486,1.0309963822226893,0.009662909442046381,7.145440511635417e-05
213,-0.019086775379805545,0.9810942237250071,-0.0060380015509240445,-4.464926547231845e-05
214,0.005922401780765502,1.0059399738747314,0.0018724818672224786,1.3846458845132999e-05
215,0.039344640371705514,1.040128892293628,0.012400607000383269,9.169888237164652e-05
216,-0.008836399532169206,0.9912025267058673,-0.002732255190054425,-2.0204232524615754e-05
