cutoff_days,roi_beta,roi_or,elasticity,norm_elast
191,0.2928798940587661,1.340281804956516,0.0880986937702467,0.0021027147790396803
192,0.11886697865021956,1.1262200970064056,0.03572350848710596,0.0008526386265258789
193,0.17273211323668308,1.1885476662458032,0.05187294014264564,0.0012380887071338045
194,-0.0063776731828063754,0.9936426210086471,-0.0019035948324834695,-4.543446464717484e-05
195,0.16166298042239163,1.175464020170036,0.04795932390723351,0.0011446796184684065
196,0.19850285020584865,1.21957550345053,0.05851076008045541,0.0013965183215414434
197,0.03735949620318121,1.0380661346016884,0.01094172588938069,0.0002611540279564515
198,0.14429493637833754,1.155224776096442,0.0420086433814532,0.0010026504537734844
199,0.08135718894052288,1.0847582910408309,0.023657083115922524,0.0005646405885034847
200,0.14220913095015852,1.1528177131928057,0.04132827444329111,0.0009864115998217573
201,0.14949061365691066,1.1612425709396619,0.04324974667140696,0.001032272757106453
202,0.16123637340803293,1.1749626659221282,0.046342586590372166,0.001106091788110161
203,0.11283363327233314,1.1194456789413745,0.03230797457339401,0.0007711176262553972
204,0.07714294415454304,1.0801964731288738,0.021961185558696462,0.000524163383851435
205,0.2618501300795706,1.2993317970834712,0.07414101188156343,0.0017695767637927306
206,0.21215806313805005,1.2363432899350586,0.06004098215165529,0.0014330412304135768
207,0.11491649337577253,1.121779757619859,0.03249994773792967,0.0007756995876100215
208,0.11265331471687552,1.1192438403118063,0.03172094871170743,0.000757106658530201
209,0.1267881292446832,1.1351764816025203,0.03553954900976733,0.0008482479335974102
210,0.1672325383753445,1.1820291004788963,0.04667837506329877,0.001114106292689483
211,0.19591721778562887,1.2164262027115011,0.05449801085508127,0.001300743154627177
212,0.1293447493335319,1.1380824096940054,0.035798852576197776,0.0008544369179972577
213,0.13119358130769185,1.14018847912662,0.03628393403125699,0.0008660147053734373
214,0.09012924658489609,1.0943157111339696,0.02492994505577338,0.0005950208983362445
215,0.14785619953093615,1.1593461698525538,0.04077612724931495,0.0009732331063016745
216,0.12976977931879843,1.1385662316559668,0.0351737054470408,0.0008395160826102914
217,0.050872151107428105,1.0521883635665905,0.013636945237736337,0.0003254827633100182
218,0.1049736950910524,1.1106813935985065,0.027736111172204234,0.000661997679863195
219,0.12521128592213224,1.1333878966772866,0.03249983340865768,0.0007756968588311987
220,0.13869436786782763,1.1487729444197388,0.0359745105407357,0.0008586294727592292
221,-0.04502286432854741,0.9559756238424699,-0.011569059199632836,-0.0002761270424972933
222,0.015958204934586603,1.0160862171287082,0.00402943208142722,9.617334861796908e-05
223,0.07981112032538701,1.083082476088308,0.019827256632799065,0.00047323137001696743
224,-0.006219295171651427,0.9938000046134834,-0.001524783575827037,-3.6393104398232255e-05
225,0.0797427434042137,1.0830084207750823,0.019256912406642228,0.00045961855486436687
226,0.013580599247327492,1.0136732344574961,0.00323184929817681,7.713686766602745e-05
227,-0.003746089210961106,0.996260918627833,-0.0008904376587116783,-2.1252714934337374e-05
228,1.3472543364507867e-05,1.0000134726341197,3.1961016864182087e-06,7.628365374941466e-08
229,0.017862087200256966,1.0180225683653796,0.004189185479330374,9.998629766859638e-05
230,0.11568128908433988,1.1226380181195839,0.026855454334865775,0.000640978410815198
231,0.15350890087675043,1.165918164769813,0.035272987413308546,0.0008418857165836139
232,0.11901939012826644,1.12639175895729,0.027005319223931512,0.0006445553437254575
233,0.13285795050664398,1.1420877538209935,0.029804773678523057,0.0007113719332003189
234,0.0210379857951938,1.02126084430601,0.004717415852427114,0.00011259395125248277
235,0.12558376724324238,1.1338101411325754,0.028110530880639983,0.0006709342238776249
236,0.05578470468986989,1.0573700124244605,0.012348468919587628,0.0002947297738993066
237,0.17438639789759183,1.1905154896400894,0.03822903038006785,0.0009124397165088693
238,0.03832581120358612,1.0390697182898598,0.008317939077833283,0.00019853022424741855
239,0.016751279170980224,1.016892368556178,0.003597335469884865,8.58601885451017e-05
240,0.08362626383679292,1.0872224835089046,0.017781046270692654,0.0004243929981263914
241,0.11719875051209587,1.1243428712066672,0.02488721976804502,0.000594001143217293
242,0.06794717403599967,1.0703087668929665,0.014408092113675762,0.0003438882794811982
243,0.06353456564325208,1.065596318187081,0.013354665426578908,0.00031874538838033776
244,2.8761920726400434e-05,1.0000287623343544,5.9954064852195864e-06,1.4309667128207941e-07
245,0.015152079255764478,1.015267453994516,0.003126975562135455,7.463377090862992e-05
246,-0.021257320679509816,0.9789670236962962,-0.004339708839388792,-0.00010357894677882009
247,0.08058149257931049,1.0839171742494682,0.01628441964710682,0.00038867193592397986
248,0.032491235811431464,1.0330248394798094,0.006558640512860618,0.00015653978222158368
249,0.029903328302702682,1.0303549229795903,0.00602859578986339,0.0001438888242459199
250,0.11750271081650454,1.1246846787533902,0.023465071230018137,0.0005600577029581511
251,0.03077344923792014,1.0312518465281686,0.006082710885463036,0.0001451804280872126
252,-0.04131663229724075,0.9595252651546674,-0.008088662076248272,-0.00019305790542979804
253,-0.037356317198473536,0.9633328221361035,-0.007243758603279485,-0.00017289198760011255
254,-0.1248981633179038,0.8825867777173297,-0.024002641383297562,-0.0005728882757816159
